NOME,PONTOS,JOGOS,VITORIAS,EMPATES,DERROTAS,SALDO,GP,GC,APROVEITAMENTO
Palmeiras,66,36,19,9,8,30,62,32,61
Botafogo,63,36,18,9,9,23,57,34,58
Atletico Mineiro,63,36,18,9,9,22,49,27,58
Flamengo,63,36,18,9,9,14,54,40,58
Gremio,62,36,19,5,12,5,59,54,57
Bragantino,59,36,16,11,9,14,47,33,54
Fluminense,56,36,16,8,12,6,49,43,52
Atletico Paranaense,53,36,13,14,9,8,48,40,49
Sao Paulo,50,36,13,11,12,2,38,36,46
Internacional,49,36,13,10,13,-2,41,43,45
Fortaleza,48,36,13,9,14,-1,42,43,44
Cuiaba,48,36,13,9,14,-1,36,37,44
Corinthians,47,36,11,14,11,0,44,44,43
Cruzeiro,45,36,11,12,13,3,34,31,42
Santos,43,36,11,10,15,-21,38,59,40
Vasco,42,36,11,9,16,-10,39,49,39
Bahia,41,36,11,8,17,-5,44,49,38
Goias,35,36,8,11,17,-17,35,52,32
Coritiba,30,36,8,6,22,-29,41,70,28
America MG,21,36,4,9,23,-39,39,78,19